id,name,skin,ingredients,price
1765,RegenX 24,Acneica,"Zinc, Peptidos",47.37
1766,Silky Touch 60,Grasa,"Ceramidas, Ácido Hialurónico, Niacinamida",119.37
1767,AgeDefy 77,Todo tipo,"Agua Termal, Ceramidas, Vitamina C",80.56
1768,OilControl 123,Mixta,"Agua Termal, Vitamina C, Peptidos",26.05
1769,AcneFree 193,Acneica,"Glicerina, Ácido Láctico, Aloe Vera",66.1
1770,Aqua Balm 185,Todo tipo,"Peptidos, Retinol",165.64
1771,OilControl 198,Madura,"Avena Coloidal, Ácido Salicílico",184.27
1772,NutriGlow 12,Todo tipo,"Ácido Láctico, Ácido Ferúlico",39.13
1773,CeraPlus 286,Todo tipo,"Glicerina, Ácido Hialurónico",132.26
1774,Glow Serum 53,Madura,"Ácido Ferúlico, Retinol",75.8
1775,SunShield 157,Acneica,"Ácido Salicílico, Ácido Hialurónico, Avena Coloidal",103.49
1776,Daily Moist 252,Seca,"Aloe Vera, Ácido Hialurónico",53.79
1777,AgeDefy 300,Acneica,"Niacinamida, Ácido Hialurónico, Avena Coloidal",53.1
1778,Daily Moist 278,Sensible,"Ácido Hialurónico, Aceite de Jojoba",193.58
1779,Radiant Day 15,Sensible,"Niacinamida, Zinc, Vitamina C, Retinol",199.91
1780,Fresh Dew 159,Normal,"Ácido Ferúlico, Avena Coloidal, Peptidos",159.75
1781,Fresh Dew 37,Madura,"Peptidos, Urea",96.98
1782,NutriGlow 79,Madura,"Peptidos, Agua Termal",131.3
1783,OilControl 175,Normal,"Extracto de Té Verde, Agua Termal, Aceite de Jojoba",58.23
1784,Hydra Boost 240,Todo tipo,"Retinol, Avena Coloidal",13.07
1785,NutriGlow 121,Mixta,"Ácido Salicílico, Niacinamida, Ácido Ferúlico, Aloe Vera",33.13
1786,AcneFree 132,Seca,"Avena Coloidal, Extracto de Té Verde, Niacinamida, Zinc",168.92
1787,CeraPlus 232,Madura,"Niacinamida, Glicerina, Aceite de Jojoba, Aloe Vera",83.72
1788,AgeDefy 100,Grasa,"Peptidos, Agua Termal",190.98
1789,Silky Touch 269,Madura,"Manteca de Karité, Ceramidas, Urea",186.21
1790,RegenX 245,Madura,"Extracto de Té Verde, Ceramidas, Manteca de Karité, Vitamina C",104.54
1791,AgeDefy 85,Normal,"Zinc, Avena Coloidal",63.62
1792,Clear Skin 166,Todo tipo,"Ácido Láctico, Peptidos",93.74
1793,DermaFix 159,Acneica,"Ceramidas, Ácido Salicílico, Avena Coloidal, Ácido Láctico",131.25
1794,Fresh Dew 26,Seca,"Zinc, Pantenol, Ácido Hialurónico, Ácido Salicílico",63.84
1795,BrightFix 210,Sensible,"Extracto de Té Verde, Glicerina, Avena Coloidal, Vitamina C",142.28
1796,Aqua Balm 251,Madura,"Retinol, Aceite de Jojoba",89.5
1797,Hydra Boost 259,Todo tipo,"Retinol, Vitamina C",78.83
1798,CeraPlus 287,Normal,"Urea, Pantenol, Ceramidas",84.58
1799,BrightFix 74,Grasa,"Agua Termal, Aceite de Jojoba, Vitamina C, Glicerina",139.66
1800,Silky Touch 275,Sensible,"Aloe Vera, Ceramidas, Agua Termal, Ácido Láctico",127.38
1801,NightCare 300,Grasa,"Aceite de Jojoba, Ácido Láctico, Ácido Salicílico",195.15
1802,Silky Touch 276,Madura,"Peptidos, Extracto de Té Verde, Urea",153.02
1803,Silky Touch 107,Todo tipo,"Ceramidas, Pantenol, Zinc",82.11
1804,RegenX 129,Grasa,"Zinc, Agua Termal, Ácido Ferúlico",5.42
1805,Daily Moist 194,Grasa,"Peptidos, Avena Coloidal, Ceramidas",64.15
1806,UltraSmooth 233,Sensible,"Urea, Ácido Hialurónico",162.98
1807,UltraSmooth 241,Seca,"Ácido Láctico, Glicerina, Avena Coloidal",146.2
1808,Daily Moist 219,Seca,"Ceramidas, Ácido Hialurónico, Vitamina C",12.71
1809,UltraSmooth 108,Madura,"Niacinamida, Ácido Hialurónico",63.96
1810,SkinPure 259,Seca,"Ácido Ferúlico, Zinc, Agua Termal",76.76
1811,Aqua Balm 108,Todo tipo,"Glicerina, Ácido Hialurónico, Peptidos",164.84
1812,AcneFree 276,Grasa,"Ceramidas, Aloe Vera, Ácido Ferúlico",142.68
1813,Daily Moist 191,Mixta,"Ácido Salicílico, Retinol",173.28
1814,Daily Moist 28,Seca,"Agua Termal, Peptidos, Manteca de Karité, Ácido Hialurónico",89.34
1815,SkinPure 170,Acneica,"Aceite de Jojoba, Pantenol, Zinc, Glicerina",25.46
1816,Silky Touch 191,Mixta,"Pantenol, Extracto de Té Verde",194.85
1817,Hydra Boost 58,Normal,"Retinol, Ácido Salicílico, Niacinamida, Agua Termal",127.15
1818,SkinPure 110,Sensible,"Retinol, Agua Termal",11.74
1819,NutriGlow 282,Seca,"Glicerina, Agua Termal",163.84
1820,Clear Skin 273,Todo tipo,"Ácido Láctico, Ácido Hialurónico, Manteca de Karité",98.97
1821,Hydra Boost 34,Normal,"Peptidos, Manteca de Karité",68.81
1822,NightCare 148,Seca,"Manteca de Karité, Ceramidas, Niacinamida",115.78
1823,DermaFix 44,Madura,"Extracto de Té Verde, Vitamina C, Ácido Salicílico",178.09
1824,NutriGlow 209,Mixta,"Ácido Hialurónico, Ceramidas, Aloe Vera",51.66
1825,DermaFix 109,Sensible,"Retinol, Ácido Hialurónico, Ácido Ferúlico",72.23
1826,AgeDefy 59,Mixta,"Zinc, Extracto de Té Verde, Avena Coloidal",134.12
1827,Hydra Boost 261,Todo tipo,"Aloe Vera, Extracto de Té Verde, Glicerina, Pantenol",42.6
1828,OilControl 23,Sensible,"Aceite de Jojoba, Ácido Ferúlico, Zinc, Ceramidas",23.76
1829,AcneFree 274,Sensible,"Agua Termal, Pantenol",119.23
1830,OilControl 26,Normal,"Niacinamida, Ácido Hialurónico, Manteca de Karité",60.06
1831,Clear Skin 46,Grasa,"Ácido Salicílico, Retinol",140.81
1832,AcneFree 99,Acneica,"Urea, Ácido Láctico, Ácido Ferúlico",100.95
1833,Glow Serum 277,Acneica,"Glicerina, Peptidos, Ceramidas, Zinc",75.92
1834,Clear Skin 241,Normal,"Zinc, Ácido Láctico, Niacinamida, Avena Coloidal",54.13
1835,NutriGlow 196,Madura,"Peptidos, Extracto de Té Verde",28.72
1836,Radiant Day 196,Normal,"Ácido Hialurónico, Extracto de Té Verde",103.62
1837,DermaFix 168,Mixta,"Pantenol, Ácido Ferúlico",113.99
1838,AcneFree 40,Sensible,"Aceite de Jojoba, Avena Coloidal, Ácido Hialurónico, Zinc",78.07
1839,Fresh Dew 198,Mixta,"Ácido Salicílico, Pantenol",135.49
1840,Silky Touch 74,Acneica,"Pantenol, Ácido Láctico",39.6
1841,Radiant Day 260,Grasa,"Zinc, Retinol",113.69
1842,Glow Serum 14,Acneica,"Avena Coloidal, Retinol",129.13
1843,Radiant Day 88,Todo tipo,"Urea, Glicerina",44.91
1844,NutriGlow 40,Grasa,"Ácido Láctico, Ceramidas, Ácido Salicílico",36.76
1845,Silky Touch 51,Sensible,"Retinol, Agua Termal",109.78
1846,DermaFix 224,Todo tipo,"Aceite de Jojoba, Retinol",130.42
1847,Clear Skin 93,Grasa,"Retinol, Niacinamida, Ceramidas",154.31
1848,NutriGlow 300,Normal,"Aloe Vera, Agua Termal",105.95
1849,Clear Skin 37,Sensible,"Pantenol, Ácido Hialurónico, Ácido Ferúlico, Urea",77.38
1850,UltraSmooth 113,Todo tipo,"Aloe Vera, Agua Termal, Glicerina",170.4
1851,SunShield 227,Todo tipo,"Urea, Peptidos, Ceramidas",39.38
1852,Clear Skin 125,Normal,"Peptidos, Retinol, Ácido Láctico, Urea",20.58
1853,SunShield 99,Normal,"Pantenol, Aloe Vera, Agua Termal, Glicerina",39.88
1854,Fresh Dew 172,Grasa,"Zinc, Glicerina",17.81
1855,Daily Moist 168,Normal,"Ceramidas, Aloe Vera, Ácido Salicílico",182.86
1856,Hydra Boost 30,Acneica,"Aloe Vera, Ceramidas, Glicerina, Ácido Láctico",142.49
1857,Silky Touch 186,Todo tipo,"Vitamina C, Manteca de Karité, Ácido Láctico, Pantenol",33.11
1858,CeraPlus 277,Mixta,"Pantenol, Retinol, Vitamina C, Agua Termal",198.23
1859,RegenX 185,Grasa,"Urea, Aloe Vera",146.97
1860,Aqua Balm 210,Todo tipo,"Ácido Ferúlico, Ceramidas, Ácido Láctico, Agua Termal",125.93
1861,Glow Serum 116,Normal,"Vitamina C, Retinol",149.9
1862,Aqua Balm 5,Grasa,"Ácido Ferúlico, Vitamina C, Pantenol",84.64
1863,Daily Moist 125,Grasa,"Urea, Zinc",166.08
1864,OilControl 77,Grasa,"Agua Termal, Ácido Hialurónico",94.51
1865,Fresh Dew 196,Normal,"Avena Coloidal, Peptidos, Aloe Vera",111.1
1866,Glow Serum 133,Todo tipo,"Zinc, Manteca de Karité",150.4
1867,Glow Serum 103,Seca,"Urea, Manteca de Karité, Extracto de Té Verde",35.78
1868,NutriGlow 60,Grasa,"Aloe Vera, Ácido Hialurónico",46.26
1869,UltraSmooth 134,Mixta,"Ácido Hialurónico, Extracto de Té Verde",21.19
1870,Aqua Balm 262,Mixta,"Aceite de Jojoba, Peptidos, Ácido Salicílico",70.59
1871,Silky Touch 45,Seca,"Vitamina C, Urea",188.19
1872,CeraPlus 64,Todo tipo,"Urea, Agua Termal, Retinol, Manteca de Karité",184.97
1873,UltraSmooth 171,Mixta,"Zinc, Retinol, Manteca de Karité",125.17
1874,Hydra Boost 4,Grasa,"Avena Coloidal, Niacinamida, Agua Termal, Ácido Hialurónico",168.96
1875,RegenX 274,Sensible,"Ácido Hialurónico, Aloe Vera, Pantenol, Niacinamida",131.99
1876,SunShield 155,Sensible,"Retinol, Manteca de Karité",24.17
1877,NightCare 68,Todo tipo,"Glicerina, Ácido Láctico, Ceramidas, Ácido Salicílico",141.69
1878,NightCare 187,Grasa,"Peptidos, Manteca de Karité, Niacinamida, Zinc",16.7
1879,Radiant Day 151,Madura,"Aloe Vera, Agua Termal",114.22
1880,CeraPlus 91,Acneica,"Vitamina C, Retinol, Ácido Láctico",54.48
1881,Silky Touch 221,Sensible,"Vitamina C, Ácido Ferúlico, Ácido Hialurónico",173.17
1882,Fresh Dew 62,Seca,"Extracto de Té Verde, Avena Coloidal",142.48
1883,Hydra Boost 231,Normal,"Vitamina C, Zinc, Pantenol, Aloe Vera",44.99
1884,AcneFree 100,Normal,"Zinc, Aceite de Jojoba",162.62
1885,SunShield 97,Acneica,"Niacinamida, Urea, Zinc, Manteca de Karité",144.74
1886,SunShield 200,Seca,"Aloe Vera, Ácido Láctico",84.44
1887,Fresh Dew 276,Todo tipo,"Ácido Salicílico, Aceite de Jojoba, Glicerina",136.95
1888,NutriGlow 260,Normal,"Pantenol, Glicerina",168.02
1889,Daily Moist 118,Todo tipo,"Manteca de Karité, Extracto de Té Verde, Urea",190.5
1890,RegenX 100,Madura,"Retinol, Pantenol, Aloe Vera, Peptidos",197.63
1891,UltraSmooth 125,Madura,"Urea, Agua Termal, Avena Coloidal, Peptidos",125.47
1892,Hydra Boost 182,Sensible,"Agua Termal, Retinol, Extracto de Té Verde, Glicerina",189.56
1893,SunShield 293,Madura,"Agua Termal, Urea",111.12
1894,RegenX 36,Normal,"Ácido Ferúlico, Peptidos, Aloe Vera, Ácido Salicílico",100.44
1895,AgeDefy 128,Grasa,"Pantenol, Peptidos, Ácido Ferúlico, Ácido Hialurónico",54.42
1896,Radiant Day 52,Acneica,"Agua Termal, Extracto de Té Verde, Glicerina",8.46
1897,Daily Moist 139,Sensible,"Glicerina, Niacinamida, Ceramidas, Avena Coloidal",112.17
1898,CeraPlus 213,Sensible,"Agua Termal, Vitamina C",157.15
1899,Clear Skin 50,Acneica,"Ceramidas, Vitamina C",32.71
1900,Daily Moist 118,Acneica,"Vitamina C, Peptidos, Glicerina, Ácido Ferúlico",110.07
1901,SunShield 128,Normal,"Aloe Vera, Ácido Láctico, Extracto de Té Verde",130.3
1902,AgeDefy 148,Normal,"Avena Coloidal, Manteca de Karité, Ácido Ferúlico, Ceramidas",189.35
1903,Silky Touch 62,Madura,"Ácido Hialurónico, Ácido Láctico, Extracto de Té Verde, Ácido Ferúlico",16.88
1904,Clear Skin 47,Normal,"Manteca de Karité, Ceramidas, Niacinamida",49.01
1905,RegenX 279,Mixta,"Vitamina C, Retinol, Agua Termal",65.63
1906,BrightFix 300,Madura,"Aceite de Jojoba, Vitamina C, Ácido Salicílico",170.38
1907,Aqua Balm 233,Madura,"Ácido Hialurónico, Ácido Salicílico, Aloe Vera",48.8
1908,CeraPlus 243,Mixta,"Urea, Ácido Láctico, Peptidos",186.91
1909,Daily Moist 177,Seca,"Agua Termal, Manteca de Karité, Avena Coloidal, Ácido Ferúlico",200.0
1910,NutriGlow 80,Madura,"Pantenol, Extracto de Té Verde, Ácido Salicílico, Niacinamida",184.24
1911,SkinPure 215,Normal,"Manteca de Karité, Vitamina C, Ácido Láctico",149.08
1912,Clear Skin 290,Seca,"Peptidos, Glicerina, Aloe Vera, Urea",93.89
1913,CeraPlus 8,Todo tipo,"Aloe Vera, Agua Termal, Extracto de Té Verde, Avena Coloidal",52.81
1914,Glow Serum 19,Normal,"Zinc, Ácido Láctico",44.13
1915,AgeDefy 224,Todo tipo,"Urea, Ácido Láctico, Peptidos, Niacinamida",95.92
1916,BrightFix 249,Todo tipo,"Agua Termal, Urea, Vitamina C",89.76
1917,Aqua Balm 155,Madura,"Ceramidas, Manteca de Karité, Vitamina C, Ácido Ferúlico",108.29
1918,OilControl 267,Grasa,"Vitamina C, Aceite de Jojoba, Zinc, Retinol",11.74
1919,Daily Moist 24,Acneica,"Agua Termal, Aceite de Jojoba, Vitamina C",41.78
1920,Clear Skin 147,Mixta,"Ácido Láctico, Ceramidas",39.0
1921,Hydra Boost 144,Mixta,"Retinol, Avena Coloidal",113.07
1922,BrightFix 67,Madura,"Extracto de Té Verde, Ácido Ferúlico, Niacinamida, Retinol",70.33
1923,Hydra Boost 177,Sensible,"Vitamina C, Extracto de Té Verde, Urea, Aloe Vera",55.59
1924,Radiant Day 232,Todo tipo,"Vitamina C, Avena Coloidal, Extracto de Té Verde",198.7
1925,Silky Touch 30,Normal,"Retinol, Extracto de Té Verde, Avena Coloidal, Ácido Ferúlico",17.59
1926,SkinPure 254,Grasa,"Agua Termal, Aloe Vera",197.19
1927,SunShield 106,Normal,"Ácido Salicílico, Niacinamida, Glicerina, Pantenol",51.94
1928,Daily Moist 186,Acneica,"Urea, Avena Coloidal",21.43
1929,BrightFix 220,Madura,"Ácido Láctico, Ácido Salicílico",138.79
1930,RegenX 203,Mixta,"Glicerina, Aloe Vera, Ácido Salicílico, Avena Coloidal",53.5
1931,Clear Skin 102,Seca,"Vitamina C, Ácido Salicílico",178.62
1932,Aqua Balm 226,Todo tipo,"Ácido Hialurónico, Manteca de Karité",143.72
1933,SkinPure 205,Todo tipo,"Ácido Láctico, Extracto de Té Verde",50.34
1934,Silky Touch 247,Seca,"Vitamina C, Niacinamida",196.95
1935,Clear Skin 161,Sensible,"Aloe Vera, Vitamina C",22.97
1936,Aqua Balm 68,Todo tipo,"Pantenol, Ácido Hialurónico",104.77
1937,Clear Skin 135,Sensible,"Aceite de Jojoba, Pantenol, Ácido Láctico, Ceramidas",65.25
1938,RegenX 41,Mixta,"Vitamina C, Zinc, Ácido Ferúlico",26.22
1939,UltraSmooth 114,Seca,"Peptidos, Glicerina",65.26
1940,Hydra Boost 271,Sensible,"Vitamina C, Agua Termal, Zinc, Extracto de Té Verde",188.46
1941,NightCare 279,Sensible,"Pantenol, Ácido Hialurónico, Aloe Vera",14.33
1942,Fresh Dew 177,Sensible,"Ácido Ferúlico, Zinc, Aloe Vera, Peptidos",87.16
1943,UltraSmooth 2,Normal,"Ceramidas, Ácido Láctico",53.85
1944,BrightFix 174,Acneica,"Retinol, Manteca de Karité, Pantenol",133.24
1945,Radiant Day 67,Sensible,"Avena Coloidal, Ceramidas, Aloe Vera",67.45
1946,AgeDefy 265,Sensible,"Zinc, Agua Termal",178.78
1947,AcneFree 194,Sensible,"Glicerina, Peptidos, Vitamina C",113.96
1948,Silky Touch 16,Seca,"Ácido Hialurónico, Zinc, Urea",12.55
1949,AcneFree 25,Sensible,"Manteca de Karité, Ceramidas",147.45
1950,RegenX 24,Normal,"Zinc, Niacinamida, Pantenol, Ácido Láctico",98.26
1951,Hydra Boost 131,Grasa,"Aloe Vera, Glicerina, Peptidos, Pantenol",194.18
1952,NutriGlow 102,Madura,"Ácido Láctico, Ácido Ferúlico",127.94
1953,Radiant Day 130,Mixta,"Ácido Salicílico, Ácido Láctico",124.6
1954,OilControl 134,Mixta,"Vitamina C, Manteca de Karité, Niacinamida, Ácido Láctico",176.62
1955,AcneFree 132,Acneica,"Ácido Láctico, Pantenol, Aceite de Jojoba",123.58
1956,UltraSmooth 236,Normal,"Extracto de Té Verde, Retinol",42.31
1957,Clear Skin 114,Mixta,"Extracto de Té Verde, Ácido Láctico",120.23
1958,CeraPlus 108,Todo tipo,"Glicerina, Zinc",21.56
1959,AgeDefy 21,Grasa,"Ácido Salicílico, Avena Coloidal",5.47
1960,Radiant Day 290,Grasa,"Ácido Hialurónico, Glicerina, Agua Termal, Zinc",55.62
1961,Fresh Dew 16,Grasa,"Peptidos, Glicerina",124.42
1962,DermaFix 276,Sensible,"Agua Termal, Extracto de Té Verde",176.42
1963,AcneFree 208,Mixta,"Manteca de Karité, Niacinamida, Aceite de Jojoba, Urea",84.19
1964,NutriGlow 245,Todo tipo,"Retinol, Niacinamida, Avena Coloidal, Glicerina",159.03
1965,Radiant Day 5,Grasa,"Avena Coloidal, Aloe Vera, Niacinamida",59.59
1966,AcneFree 150,Madura,"Agua Termal, Peptidos, Retinol, Aceite de Jojoba",30.58
1967,Glow Serum 110,Todo tipo,"Aceite de Jojoba, Pantenol",13.9
1968,Daily Moist 94,Todo tipo,"Aloe Vera, Glicerina, Urea, Ceramidas",59.23
1969,Glow Serum 270,Todo tipo,"Glicerina, Peptidos",62.36
1970,Daily Moist 231,Seca,"Agua Termal, Ácido Ferúlico, Ácido Hialurónico",65.91
1971,Radiant Day 189,Grasa,"Agua Termal, Manteca de Karité, Peptidos, Niacinamida",171.57
1972,NutriGlow 72,Seca,"Ácido Salicílico, Niacinamida",164.43
1973,Glow Serum 142,Madura,"Aceite de Jojoba, Aloe Vera, Glicerina",40.65
1974,NightCare 273,Seca,"Urea, Peptidos",37.28
1975,Fresh Dew 154,Seca,"Ácido Hialurónico, Ácido Salicílico, Peptidos",17.62
1976,SunShield 268,Todo tipo,"Ácido Ferúlico, Manteca de Karité, Glicerina, Aceite de Jojoba",180.18
1977,SunShield 219,Normal,"Aceite de Jojoba, Ácido Hialurónico",125.9
1978,AgeDefy 99,Mixta,"Peptidos, Extracto de Té Verde, Zinc",27.81
1979,DermaFix 50,Grasa,"Aceite de Jojoba, Zinc, Aloe Vera, Manteca de Karité",193.9
1980,Aqua Balm 27,Mixta,"Retinol, Extracto de Té Verde",132.79
1981,AgeDefy 153,Madura,"Retinol, Extracto de Té Verde, Aloe Vera",158.26
1982,UltraSmooth 40,Madura,"Zinc, Extracto de Té Verde, Aloe Vera, Peptidos",173.49
1983,OilControl 177,Grasa,"Ácido Ferúlico, Pantenol, Urea, Glicerina",95.45
1984,Daily Moist 31,Normal,"Vitamina C, Ácido Láctico, Ácido Ferúlico, Ácido Hialurónico",126.91
1985,OilControl 222,Seca,"Ácido Hialurónico, Agua Termal, Manteca de Karité",197.15
1986,Silky Touch 256,Todo tipo,"Extracto de Té Verde, Ácido Salicílico, Ácido Ferúlico",73.45
1987,CeraPlus 129,Acneica,"Extracto de Té Verde, Avena Coloidal, Pantenol",63.77
1988,SkinPure 113,Todo tipo,"Ceramidas, Agua Termal, Pantenol, Aloe Vera",9.34
1989,BrightFix 121,Acneica,"Aceite de Jojoba, Avena Coloidal, Aloe Vera",9.0
1990,CeraPlus 49,Acneica,"Aloe Vera, Peptidos",131.32
1991,CeraPlus 204,Seca,"Agua Termal, Extracto de Té Verde",51.48
1992,Silky Touch 54,Grasa,"Vitamina C, Pantenol",39.98
1993,Fresh Dew 300,Normal,"Ácido Salicílico, Manteca de Karité, Agua Termal, Pantenol",111.31
1994,NightCare 131,Todo tipo,"Retinol, Zinc, Avena Coloidal, Aceite de Jojoba",78.84
1995,NutriGlow 144,Mixta,"Ácido Ferúlico, Glicerina, Extracto de Té Verde",131.86
1996,SkinPure 29,Sensible,"Niacinamida, Extracto de Té Verde",32.86
1997,Hydra Boost 218,Grasa,"Zinc, Niacinamida",50.23
1998,UltraSmooth 253,Todo tipo,"Zinc, Ceramidas, Aloe Vera",184.47
1999,DermaFix 52,Todo tipo,"Ácido Salicílico, Glicerina, Niacinamida, Ceramidas",137.8
2000,Aqua Balm 254,Sensible,"Zinc, Peptidos, Urea",132.23
2001,Radiant Day 260,Seca,"Glicerina, Ácido Salicílico",115.02
2002,AcneFree 25,Sensible,"Vitamina C, Pantenol, Ceramidas, Glicerina",142.63
2003,Clear Skin 204,Normal,"Ácido Hialurónico, Retinol",72.1
2004,NutriGlow 242,Sensible,"Zinc, Agua Termal",107.63
2005,Fresh Dew 55,Madura,"Zinc, Pantenol, Niacinamida, Avena Coloidal",21.28
2006,Radiant Day 183,Normal,"Ácido Salicílico, Ceramidas, Avena Coloidal",7.05
2007,Daily Moist 111,Sensible,"Aceite de Jojoba, Ácido Hialurónico",68.82
2008,CeraPlus 2,Todo tipo,"Pantenol, Ácido Salicílico, Ácido Hialurónico, Ácido Láctico",182.1
2009,Aqua Balm 63,Mixta,"Urea, Extracto de Té Verde, Peptidos",56.62
2010,Glow Serum 58,Grasa,"Ácido Láctico, Pantenol, Retinol",20.16
2011,Glow Serum 51,Todo tipo,"Manteca de Karité, Ácido Láctico, Aceite de Jojoba, Ceramidas",104.88
2012,Hydra Boost 205,Acneica,"Ceramidas, Aceite de Jojoba, Ácido Láctico, Avena Coloidal",161.71
2013,Silky Touch 156,Acneica,"Avena Coloidal, Ácido Láctico, Aceite de Jojoba",24.33
2014,Glow Serum 59,Acneica,"Aceite de Jojoba, Manteca de Karité",112.15
2015,Aqua Balm 100,Todo tipo,"Niacinamida, Ceramidas, Glicerina",11.8
2016,Radiant Day 127,Madura,"Aceite de Jojoba, Pantenol, Ácido Hialurónico, Agua Termal",94.06
2017,UltraSmooth 51,Normal,"Ceramidas, Ácido Salicílico",167.25
2018,Radiant Day 288,Madura,"Niacinamida, Pantenol",83.65
2019,UltraSmooth 25,Todo tipo,"Zinc, Retinol",114.17
2020,CeraPlus 165,Grasa,"Zinc, Agua Termal",184.18
2021,Aqua Balm 122,Madura,"Aloe Vera, Avena Coloidal, Aceite de Jojoba",115.29
2022,Clear Skin 167,Mixta,"Niacinamida, Vitamina C, Zinc",72.26
2023,UltraSmooth 293,Sensible,"Retinol, Urea, Avena Coloidal",110.76
2024,SunShield 174,Acneica,"Ácido Salicílico, Vitamina C, Extracto de Té Verde",147.64
2025,AcneFree 84,Sensible,"Urea, Zinc",106.32
2026,DermaFix 185,Normal,"Retinol, Ceramidas, Ácido Hialurónico",116.25
2027,BrightFix 200,Sensible,"Manteca de Karité, Pantenol, Agua Termal",129.63
2028,BrightFix 140,Seca,"Pantenol, Peptidos, Avena Coloidal, Zinc",181.57
2029,Radiant Day 246,Seca,"Urea, Ácido Salicílico, Aloe Vera, Ácido Láctico",170.29
2030,NightCare 282,Seca,"Extracto de Té Verde, Pantenol",181.24
2031,Clear Skin 206,Normal,"Avena Coloidal, Ácido Salicílico, Ácido Hialurónico",38.53
2032,Silky Touch 35,Madura,"Aceite de Jojoba, Ácido Hialurónico, Pantenol, Glicerina",189.79
2033,Clear Skin 121,Acneica,"Aceite de Jojoba, Pantenol, Vitamina C, Ácido Láctico",52.05
2034,AcneFree 94,Normal,"Retinol, Urea, Niacinamida, Aloe Vera",194.25
2035,SkinPure 102,Mixta,"Pantenol, Agua Termal, Aloe Vera, Avena Coloidal",56.87
2036,Aqua Balm 159,Acneica,"Ceramidas, Urea",66.92
2037,RegenX 234,Grasa,"Avena Coloidal, Retinol",34.45
2038,NightCare 26,Sensible,"Ácido Ferúlico, Zinc, Ceramidas, Pantenol",38.8
2039,SunShield 208,Seca,"Aceite de Jojoba, Ácido Hialurónico, Vitamina C, Avena Coloidal",138.54
2040,DermaFix 114,Normal,"Aloe Vera, Extracto de Té Verde, Pantenol",172.72
2041,UltraSmooth 70,Madura,"Aceite de Jojoba, Zinc",95.5
2042,RegenX 277,Madura,"Aloe Vera, Zinc, Agua Termal",126.08
2043,Fresh Dew 126,Normal,"Ácido Hialurónico, Manteca de Karité, Ácido Ferúlico",10.27
2044,NutriGlow 92,Mixta,"Ácido Láctico, Agua Termal",112.21
2045,Radiant Day 6,Mixta,"Vitamina C, Ácido Ferúlico, Ácido Salicílico",86.23
2046,OilControl 234,Mixta,"Extracto de Té Verde, Manteca de Karité, Glicerina, Zinc",195.51
2047,NutriGlow 188,Normal,"Niacinamida, Vitamina C, Urea, Extracto de Té Verde",88.71
2048,Daily Moist 157,Madura,"Vitamina C, Ácido Salicílico",16.93
2049,Daily Moist 141,Acneica,"Ácido Salicílico, Aloe Vera, Extracto de Té Verde, Ácido Ferúlico",91.79
2050,DermaFix 26,Sensible,"Ácido Ferúlico, Ácido Salicílico, Peptidos",84.56
2051,NutriGlow 102,Mixta,"Ácido Salicílico, Retinol, Avena Coloidal",153.73
2052,RegenX 139,Normal,"Agua Termal, Aceite de Jojoba, Aloe Vera, Retinol",153.31
2053,CeraPlus 60,Grasa,"Pantenol, Ácido Hialurónico",54.66
2054,DermaFix 300,Grasa,"Ácido Láctico, Glicerina",176.24
2055,AcneFree 48,Mixta,"Ácido Salicílico, Peptidos",42.09
2056,Daily Moist 216,Sensible,"Peptidos, Ácido Ferúlico",138.75
2057,UltraSmooth 210,Seca,"Vitamina C, Niacinamida, Pantenol, Agua Termal",85.64
2058,RegenX 217,Grasa,"Vitamina C, Ácido Láctico, Agua Termal",179.26
2059,Glow Serum 89,Madura,"Agua Termal, Retinol, Pantenol, Peptidos",93.59
2060,SkinPure 14,Madura,"Agua Termal, Extracto de Té Verde, Urea, Peptidos",75.55
2061,DermaFix 246,Madura,"Aceite de Jojoba, Zinc, Ácido Láctico, Ácido Salicílico",171.23
2062,SunShield 295,Todo tipo,"Glicerina, Extracto de Té Verde",38.83
2063,RegenX 231,Normal,"Retinol, Ácido Láctico, Avena Coloidal, Ácido Salicílico",10.14
2064,SkinPure 136,Seca,"Manteca de Karité, Vitamina C, Ácido Láctico, Glicerina",92.96
2065,Silky Touch 138,Mixta,"Pantenol, Niacinamida, Ácido Salicílico",198.9
2066,OilControl 71,Todo tipo,"Manteca de Karité, Retinol, Aloe Vera, Peptidos",58.19
2067,Daily Moist 110,Sensible,"Aceite de Jojoba, Zinc, Urea, Agua Termal",100.24
2068,NutriGlow 172,Acneica,"Ácido Láctico, Ácido Salicílico, Agua Termal",39.48
2069,Clear Skin 47,Todo tipo,"Urea, Zinc",128.33
2070,Clear Skin 35,Seca,"Extracto de Té Verde, Aloe Vera, Manteca de Karité, Urea",60.95
2071,AgeDefy 128,Normal,"Retinol, Extracto de Té Verde",99.17
2072,DermaFix 191,Normal,"Zinc, Avena Coloidal, Niacinamida",192.36
2073,OilControl 102,Seca,"Aloe Vera, Pantenol, Avena Coloidal, Vitamina C",106.06
2074,DermaFix 24,Acneica,"Retinol, Aloe Vera, Pantenol, Peptidos",68.17
2075,CeraPlus 240,Madura,"Ácido Láctico, Zinc",124.51
2076,Silky Touch 101,Acneica,"Pantenol, Peptidos, Urea",186.82
2077,NutriGlow 62,Grasa,"Aloe Vera, Extracto de Té Verde, Ácido Hialurónico, Zinc",128.21
